symbol	name	function	arity	family	equation	saturated_test	staged_test	status
I	Identity	idiot	1	foundation	I x = x	tests/test_birds.mlpl	-	current
K	Kestrel	kestrel	2	foundation	K x y = x	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
T	Thrush	thrush	2	foundation	T x f = f x	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
B	Bluebird	bluebird	3	composition	B f g x = f (g x)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
C	Cardinal	cardinal	3	permutation	C f x y = f y x	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
V	Vireo	vireo	3	permutation	V x y f = f x y	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
W	Warbler	warbler	2	duplication	W f x = f x x	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
S	Starling	starling	3	substitution	S f g x = f x (g x)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
M	Mockingbird	mockingbird	1	self-application	M f = f f	tests/test_birds.mlpl	-	current
B1	Blackbird	blackbird	4	composition	B1 f g x y = f (g x y)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
B2	Bunting	bunting	5	composition	B2 f g x y z = f (g x y z)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
B3	Becard	becard	4	composition	B3 f g h x = f (g (h x))	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
D	Dove	dove	4	routing	D f x g y = f x (g y)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
E	Eagle	eagle	5	routing	E f x g y z = f x (g y z)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
Q	Queer	queer	3	composition	Q f g x = g (f x)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
Psi	Psi	psi	4	fork	Psi f g x y = f (g x) (g y)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
Phi	Phoenix	phoenix	4	fork	Phi f g h x = f (g x) (h x)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
L	Lark	lark	2	self-application	L f x = f (x x)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
O	Owl	owl	2	self-application	O f g = g (f g)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
KI	Kite	kite	2	cancellation	KI x y = y	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
R	Robin	robin	3	permutation	R x f y = f y x	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
F	Finch	finch	3	permutation	F x y f = f y x	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
G	Goldfinch	goldfinch	4	permutation	G f g x y = f y (g x)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
H	Hummingbird	hummingbird	3	duplication	H f x y = f x y x	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
J	Jay	jay	4	duplication	J f x y z = f x (f z y)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
Sigma	Violet Starling	violet_starling	3	routing	Sigma f g x = f (g x) x	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
Delta	Zebra Dove	zebra_dove	4	routing	Delta f g x y = f (g x) y	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
D1	Dickcissel	dickcissel	5	routing	D1 f x y g z = f x y (g z)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
D2	Dovekie	dovekie	5	fork	D2 f g x h y = f (g x) (h y)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
N	Eastern Nicator	eastern_nicator	4	duplication	N f x g y = f x (g x y)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
Nu	Western Nicator	western_nicator	4	duplication	Nu f g x y = f (g x y) y	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
Ehat	Bald Eagle	bald_eagle	7	fork	Ehat f g x y h z w = f (g x y) (h z w)	tests/test_birds.mlpl	tests/test_staged_audit.mlpl	current
